,Date,AveragePrice,Total Volume
2703,2015-01-04,0.95,31324277.73
2702,2015-01-11,1.01,29063542.75
2701,2015-01-18,1.03,29043458.85
2700,2015-01-25,1.04,28470310.84
2699,2015-02-01,0.89,44655461.51
2698,2015-02-08,0.95,32137333.01
2697,2015-02-15,1.03,28012520.93
2696,2015-02-22,1.02,29936729.76
2695,2015-03-01,0.97,32994014.16
2694,2015-03-08,1.02,30094698.85
2693,2015-03-15,1.04,29572225.71
2692,2015-03-22,1.01,32513550.51
2691,2015-03-29,1.04,29982648.43
2690,2015-04-05,1.06,31500669.44
2689,2015-04-12,1.02,32046401.64
2688,2015-04-19,1.03,33091256.26
2687,2015-04-26,1.07,30894157.8
2686,2015-05-03,0.96,41291704.39
2685,2015-05-10,1.02,36400886.58
2684,2015-05-17,1.06,32027686.15
2683,2015-05-24,1.04,35344183.15
2682,2015-05-31,1.03,33720159.09
2681,2015-06-07,1.0,36549995.66
2680,2015-06-14,0.98,37026085.75
2679,2015-06-21,1.02,35734613.9
2678,2015-06-28,1.06,32408705.7
2677,2015-07-05,1.04,37943670.34
2676,2015-07-12,1.07,31660031.68
2675,2015-07-19,1.07,32324647.66
2674,2015-07-26,1.07,30652211.08
2673,2015-08-02,1.09,30358467.88
2672,2015-08-09,1.05,33254911.87
2671,2015-08-16,1.05,31936856.18
2670,2015-08-23,1.08,29699845.61
2669,2015-08-30,1.07,29761638.48
2668,2015-09-06,1.02,33526480.08
2667,2015-09-13,1.03,31245835.65
2666,2015-09-20,1.02,29569086.56
2665,2015-09-27,1.03,27753508.14
2664,2015-10-04,1.02,28243505.52
2663,2015-10-11,1.0,29216198.15
2662,2015-10-18,0.99,29375123.6
2661,2015-10-25,1.04,26240072.11
2660,2015-11-01,0.97,31047484.27
2659,2015-11-08,0.97,28485715.97
2658,2015-11-15,0.92,28597756.27
2657,2015-11-22,0.96,25114228.11
2656,2015-11-29,0.99,22617999.38
2655,2015-12-06,0.89,28800396.57
2654,2015-12-13,0.93,28041335.38
2653,2015-12-20,0.98,25083647.17
2652,2015-12-27,0.95,27297983.67
5511,2016-01-03,0.86,38142088.04
5510,2016-01-10,0.93,35264336.01
5509,2016-01-17,0.94,34426341.87
5508,2016-01-24,0.95,32787079.21
5507,2016-01-31,0.93,34721249.92
5506,2016-02-07,0.76,52288697.89
5505,2016-02-14,0.88,36476441.86
5504,2016-02-21,0.94,32804733.22
5503,2016-02-28,0.91,36801817.68
5502,2016-03-06,0.95,35064506.04
5501,2016-03-13,0.93,36374516.14
5500,2016-03-20,0.93,36335483.78
5499,2016-03-27,0.94,35930195.92
5498,2016-04-03,0.94,33668450.55
5497,2016-04-10,0.9,36584029.39
5496,2016-04-17,0.9,37467885.19
5495,2016-04-24,0.87,39607695.3
5494,2016-05-01,0.84,42867608.54
5493,2016-05-08,0.82,46324529.7
5492,2016-05-15,0.89,39914996.74
5491,2016-05-22,0.93,36958035.51
5490,2016-05-29,0.94,40019075.24
5489,2016-06-05,0.97,40231259.65
5488,2016-06-12,1.04,35580820.0
5487,2016-06-19,1.02,38489936.14
5486,2016-06-26,1.04,36617023.79
5485,2016-07-03,1.06,39993186.04
5484,2016-07-10,1.1,35567568.43
5483,2016-07-17,1.15,32656123.63
5482,2016-07-24,1.2,32339377.09
5481,2016-07-31,1.23,31201590.22
5480,2016-08-07,1.15,33819909.09
5479,2016-08-14,1.12,34386177.3
5478,2016-08-21,1.1,33592097.72
5477,2016-08-28,1.09,33993931.31
5476,2016-09-04,1.04,37130688.91
5475,2016-09-11,1.08,34126730.95
5474,2016-09-18,1.15,31346091.46
5473,2016-09-25,1.22,30305112.89
5472,2016-10-02,1.23,29615008.49
5471,2016-10-09,1.27,28857581.98
5470,2016-10-16,1.3,27707046.82
5469,2016-10-23,1.34,24753513.95
5468,2016-10-30,1.43,21009730.21
5467,2016-11-06,1.44,22534698.38
5466,2016-11-13,1.36,24075126.49
5465,2016-11-20,1.27,24989702.75
5464,2016-11-27,1.21,22923062.65
5463,2016-12-04,1.0,31621221.9
5462,2016-12-11,0.98,30093540.7
5461,2016-12-18,0.96,29583882.61
5460,2016-12-25,1.0,30287853.7
8371,2017-01-01,0.89,38879716.85
8370,2017-01-08,0.99,38049802.62
8369,2017-01-15,0.98,38295488.31
8368,2017-01-22,0.94,42140393.39
8367,2017-01-29,0.96,39373579.25
8366,2017-02-05,0.77,61034457.1
8365,2017-02-12,0.87,41077470.65
8364,2017-02-19,0.99,33905854.58
8363,2017-02-26,0.99,37007797.69
8362,2017-03-05,1.13,33684175.01
8361,2017-03-12,1.22,32020573.94
8360,2017-03-19,1.25,31595125.23
8359,2017-03-26,1.24,32555119.32
8358,2017-04-02,1.21,34468017.36
8357,2017-04-09,1.21,34785712.55
8356,2017-04-16,1.23,35182320.78
8355,2017-04-23,1.18,35729013.92
8354,2017-04-30,1.18,38315500.43
8353,2017-05-07,1.09,47293921.6
8352,2017-05-14,1.19,36634269.03
8351,2017-05-21,1.26,34397651.15
8350,2017-05-28,1.28,37030893.73
8349,2017-06-04,1.24,37352360.59
8348,2017-06-11,1.21,37039853.8
8347,2017-06-18,1.18,38247669.33
8346,2017-06-25,1.17,37305307.68
8345,2017-07-02,1.21,38010426.16
8344,2017-07-09,1.17,39367336.18
8343,2017-07-16,1.33,32455047.11
8342,2017-07-23,1.31,32608301.51
8341,2017-07-30,1.32,31756097.22
8340,2017-08-06,1.33,32529920.23
8339,2017-08-13,1.33,32817254.13
8338,2017-08-20,1.41,29913744.37
8337,2017-08-27,1.47,28785279.75
8336,2017-09-03,1.57,26808410.65
8335,2017-09-10,1.56,26385081.36
8334,2017-09-17,1.57,25394902.82
8333,2017-09-24,1.62,24637148.38
8332,2017-10-01,1.64,24610645.21
8331,2017-10-08,1.65,24397166.19
8330,2017-10-15,1.58,25031589.09
8329,2017-10-22,1.44,26706971.51
8328,2017-10-29,1.29,30237911.23
8327,2017-11-05,1.19,32051594.24
8326,2017-11-12,1.15,32336225.0
8325,2017-11-19,1.17,29253484.0
8324,2017-11-26,1.24,24686675.0
8323,2017-12-03,1.09,33824253.0
8322,2017-12-10,1.03,35634913.01
8321,2017-12-17,1.07,30757767.03
8320,2017-12-24,1.18,29102349.33
8319,2017-12-31,0.98,38267341.61
9101,2018-01-07,1.13,36703156.72
9100,2018-01-14,1.2,37299945.22
9099,2018-01-21,1.08,42939821.55
9098,2018-01-28,1.09,40171640.84
9097,2018-02-04,0.87,62505646.52
9096,2018-02-11,0.97,43167806.09
9095,2018-02-18,1.08,36709887.49
9094,2018-02-25,1.06,40021528.76
9093,2018-03-04,1.07,40741214.05
9092,2018-03-11,1.09,40449603.12
9091,2018-03-18,1.05,41386314.12
9090,2018-03-25,1.03,43409835.75
